"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"SW2,SW5,SW1,SW6,SW3,SW7,SW8,SW9,SW4";"SW_PUSH_6mm";9;"SW_Push_Open_Dual";;;
2;"J12";"PinHeader_1x02_P2.54mm_Vertical";1;"FTDI_DTR_en";;;
3;"Q7,Q8,Q2,Q1,Q4,Q11,Q14,Q16,Q6,Q13,Q12,Q9,Q5,Q10,Q17,Q3,Q15";"SOT-23";17;"2N7002";;;
4;"R24,R23";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"6K19";;;
5;"R29,R32,R33,R34,R28,R31,R30,R27";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"9K53";;;
6;"R11,R20,R21,R15,R17,R14,R10,R8,R18,R4,R7,R16,R9,R6,R19,R22,R3,R13,R5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";19;"330";;;
7;"J17,J18";"PinHeader_2x05_P2.54mm_Vertical";2;"Supply";;;
8;"R1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"11K3";;;
9;"J20";"PinHeader_1x08_P2.54mm_Vertical";1;"Buttons";;;
10;"R26";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"11K3";;;
11;"BAR1,BAR2";"HDSP-4850";2;"HDSP-4850_2";;;
12;"J21";"TerminalBlock_bornier-2_P5.08mm";1;"Power Supply";;;
13;"J9";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"AVR-JTAG-10";;;
14;"C11,C4,C9,C10,C3,C6,C12,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"100nF";;;
15;"C8,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
16;"J5";"PinHeader_1x08_P2.54mm_Vertical";1;"PORTC";;;
17;"R25,R2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100R";;;
18;"J6";"PinHeader_2x05_P2.54mm_Vertical";1;"AVR-JTAG-10";;;
19;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
20;"RV1";"Potentiometer_Piher_PT-6-V_Vertical";1;"10K";;;
21;"J10";"PinHeader_1x06_P2.54mm_Vertical";1;"FTDI";;;
22;"J13";"PinHeader_1x16_P2.54mm_Vertical";1;"LCD";;;
23;"C13";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100nF";;;
24;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"PORTA";;;
25;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
26;"J19";"PinHeader_1x08_P2.54mm_Vertical";1;"LCD_Interface";;;
27;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"PortB_LEDS_en";;;
28;"U2";"DIP-40_W15.24mm";1;"ATmega644-20P";;;
29;"J3";"IDC-Header_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
30;"J7";"IDC-Header_2x03_P2.54mm_Vertical";1;"Serial";;;
31;"Y1";"Crystal_HC49-4H_Vertical";1;"20 MHz";;;
32;"J8";"IDC-Header_2x03_P2.54mm_Vertical";1;"I2C";;;
33;"J14";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
34;"U1";"Converter_DCDC_TRACO_TSR1-xxxxE_THT";1;"TSR1-2450E";;;
35;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"PortA_LEDS_en";;;
36;"D1";"D_SMB_Handsoldering";1;"SMS140";;;
37;"J15";"PinHeader_1x08_P2.54mm_Vertical";1;"PORTB";;;
38;"R12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"930";;;
39;"J11";"PinHeader_1x02_P2.54mm_Vertical";1;"FTDI_VCC_en";;;
40;"J16";"PinHeader_1x08_P2.54mm_Vertical";1;"PORTD";;;
